base_user,imp_user,direction,modalities,combo_spec,fusion,q,tn,fp,fn,tp,accuracy,precision,recall,f1
user9,user10,user9->user10,"EE,EE,EE,EE",auto,mean,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"EE,EE,EE,EE",auto,max,0.99,10,0,28,2,0.3,1.0,0.06666666666666667,0.125
user9,user10,user9->user10,"EE,EE,EE,EE",auto,weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"EE,EE,EE,EE",auto,kof4,0.99,10,0,22,8,0.45,1.0,0.26666666666666666,0.4210526315789474
user9,user10,user9->user10,"IF,EE,LOF,EE","each:IF,EE,LOF,EE",mean,0.99,9,1,28,2,0.275,0.6666666666666666,0.06666666666666667,0.1212121212121212
user9,user10,user9->user10,"IF,EE,LOF,EE","each:IF,EE,LOF,EE",max,0.99,10,0,25,5,0.375,1.0,0.16666666666666666,0.2857142857142857
user9,user10,user9->user10,"IF,EE,LOF,EE","each:IF,EE,LOF,EE",weighted,0.99,7,3,26,4,0.275,0.5714285714285714,0.13333333333333333,0.21621621621621623
user9,user10,user9->user10,"IF,EE,LOF,EE","each:IF,EE,LOF,EE",kof4,0.99,7,3,19,11,0.45,0.7857142857142857,0.36666666666666664,0.5
user9,user10,user9->user10,"IF,OCSVM,OCSVM,EE","each:IF,OCSVM,OCSVM,EE",mean,0.99,10,0,28,2,0.3,1.0,0.06666666666666667,0.125
user9,user10,user9->user10,"IF,OCSVM,OCSVM,EE","each:IF,OCSVM,OCSVM,EE",max,0.99,8,2,14,16,0.6,0.8888888888888888,0.5333333333333333,0.6666666666666667
user9,user10,user9->user10,"IF,OCSVM,OCSVM,EE","each:IF,OCSVM,OCSVM,EE",weighted,0.99,7,3,29,1,0.2,0.25,0.03333333333333333,0.058823529411764705
user9,user10,user9->user10,"IF,OCSVM,OCSVM,EE","each:IF,OCSVM,OCSVM,EE",kof4,0.99,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806
user9,user10,user9->user10,"OCSVM,EE,IF,IF","each:OCSVM,EE,IF,IF",mean,0.99,10,0,28,2,0.3,1.0,0.06666666666666667,0.125
user9,user10,user9->user10,"OCSVM,EE,IF,IF","each:OCSVM,EE,IF,IF",max,0.99,0,10,11,19,0.475,0.6551724137931034,0.6333333333333333,0.6440677966101694
user9,user10,user9->user10,"OCSVM,EE,IF,IF","each:OCSVM,EE,IF,IF",weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"OCSVM,EE,IF,IF","each:OCSVM,EE,IF,IF",kof4,0.99,8,2,27,3,0.275,0.6,0.1,0.17142857142857143
user9,user10,user9->user10,"OCSVM,IF,EE,OCSVM","each:OCSVM,IF,EE,OCSVM",mean,0.99,10,0,27,3,0.325,1.0,0.1,0.18181818181818182
user9,user10,user9->user10,"OCSVM,IF,EE,OCSVM","each:OCSVM,IF,EE,OCSVM",max,0.99,0,10,11,19,0.475,0.6551724137931034,0.6333333333333333,0.6440677966101694
user9,user10,user9->user10,"OCSVM,IF,EE,OCSVM","each:OCSVM,IF,EE,OCSVM",weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"OCSVM,IF,EE,OCSVM","each:OCSVM,IF,EE,OCSVM",kof4,0.99,8,2,25,5,0.325,0.7142857142857143,0.16666666666666666,0.2702702702702703
user9,user10,user9->user10,"EE,IF,IF,OCSVM","each:EE,IF,IF,OCSVM",mean,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"EE,IF,IF,OCSVM","each:EE,IF,IF,OCSVM",max,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"EE,IF,IF,OCSVM","each:EE,IF,IF,OCSVM",weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"EE,IF,IF,OCSVM","each:EE,IF,IF,OCSVM",kof4,0.99,8,2,22,8,0.4,0.8,0.26666666666666666,0.4
user9,user10,user9->user10,"LOF,EE,EE,OCSVM","each:LOF,EE,EE,OCSVM",mean,0.99,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806
user9,user10,user9->user10,"LOF,EE,EE,OCSVM","each:LOF,EE,EE,OCSVM",max,0.99,9,1,29,1,0.25,0.5,0.03333333333333333,0.0625
user9,user10,user9->user10,"LOF,EE,EE,OCSVM","each:LOF,EE,EE,OCSVM",weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"LOF,EE,EE,OCSVM","each:LOF,EE,EE,OCSVM",kof4,0.99,7,3,22,8,0.375,0.7272727272727273,0.26666666666666666,0.3902439024390244
user9,user10,user9->user10,"LOF,IF,EE,LOF","each:LOF,IF,EE,LOF",mean,0.99,8,2,27,3,0.275,0.6,0.1,0.17142857142857143
user9,user10,user9->user10,"LOF,IF,EE,LOF","each:LOF,IF,EE,LOF",max,0.99,9,1,29,1,0.25,0.5,0.03333333333333333,0.0625
user9,user10,user9->user10,"LOF,IF,EE,LOF","each:LOF,IF,EE,LOF",weighted,0.99,10,0,30,0,0.25,0.0,0.0,0.0
user9,user10,user9->user10,"LOF,IF,EE,LOF","each:LOF,IF,EE,LOF",kof4,0.99,6,4,22,8,0.35,0.6666666666666666,0.26666666666666666,0.3809523809523809
user9,user10,user9->user10,"LOF,EE,IF,OCSVM","each:LOF,EE,IF,OCSVM",mean,0.99,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806
